"pt.cuad","w.cuad"
-5.12249938994628,2.04841734180449e-07
-4.86637442044896,7.36152760767577e-07
-4.61024945095165,2.47758023855284e-06
-4.35412448145434,7.8090426288249e-06
-4.09799951195702,2.30503827290233e-05
-3.84187454245971,6.37189733872483e-05
-3.5857495729624,0.000164956594160836
-3.32962460346508,0.000399927137234173
-3.07349963396777,0.00090803450011499
-2.81737466447045,0.00193078584692969
-2.56124969497314,0.00384482117959522
-2.30512472547583,0.00717015372649929
-2.04899975597851,0.0125225008561515
-1.7928747864812,0.0204816035330555
-1.53674981698388,0.031372355110094
-1.28062484748657,0.0450029073120889
-1.02449987798926,0.0604566811555601
-0.768374908491942,0.076060349277341
-0.512249938994628,0.0896153923295155
-0.256124969497314,0.0988819875978888
0,0.102179093740584
0.256124969497313,0.0988819875978888
0.512249938994628,0.0896153923295155
0.768374908491942,0.076060349277341
1.02449987798926,0.0604566811555602
1.28062484748657,0.0450029073120889
1.53674981698388,0.031372355110094
1.7928747864812,0.0204816035330555
2.04899975597851,0.0125225008561515
2.30512472547583,0.0071701537264993
2.56124969497314,0.00384482117959522
2.81737466447045,0.00193078584692969
3.07349963396777,0.00090803450011499
3.32962460346508,0.000399927137234173
3.5857495729624,0.000164956594160836
3.84187454245971,6.37189733872482e-05
4.09799951195702,2.30503827290233e-05
4.35412448145434,7.80904262882492e-06
4.61024945095165,2.47758023855285e-06
4.86637442044896,7.36152760767577e-07
5.12249938994628,2.04841734180449e-07
